Tool,Vulnerability,tp,fn,fp,tn,TPR (detection rate),TNR (specificity),FPR (false alarm),FNR (miss rate),Accuracy,Precision,Recall,F1,Average time per contract,Exp_,Exp,CR
SoliAudit,SolidiFI_Overflow-Underflow,98,13,282,51,88.3,15.3,84.7,11.7,33.6,66.2,33.6,29.2,5.4,0,0.0,100.0
SoliAudit,SolidiFI_tx.origin,111,0,7,326,100.0,97.9,2.1,0.0,98.4,98.5,98.4,98.4,5.4,0,0.0,100.0
eThor,SolidiFI_Re-entrancy,103,0,135,12,100.0,8.2,91.8,0.0,46.0,76.6,46.0,33.8,160.0,194,43.7,56.3
Slither,SolidiFI_Re-entrancy,111,0,0,333,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.9,0,0.0,100.0
Slither,SolidiFI_Timestamp-Dependency,111,0,20,313,100.0,94.0,6.0,0.0,95.5,96.2,95.5,95.6,0.9,0,0.0,100.0
Slither,SolidiFI_tx.origin,111,0,0,333,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.9,0,0.0,100.0
ConFuzzius,SolidiFI_Re-entrancy,55,54,2,326,50.5,99.4,0.6,49.5,87.2,88.5,87.2,85.6,32.3,7,1.6,98.4
ConFuzzius,SolidiFI_Overflow-Underflow,46,64,58,269,41.8,82.3,17.7,58.2,72.1,71.6,72.1,71.8,32.3,7,1.6,98.4
SAILFISH,SolidiFI_Re-entrancy,111,0,0,333,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,3.3,0,0.0,100.0
DLVA,SolidiFI_tx.origin,28,83,83,250,25.2,75.1,24.9,74.8,62.6,62.6,62.6,62.6,0.2,0,0.0,100.0
DLVA,SolidiFI_Timestamp-Dependency,27,84,84,249,24.3,74.8,25.2,75.7,62.2,62.2,62.2,62.2,0.2,0,0.0,100.0
DLVA,SolidiFI_Re-entrancy,35,76,76,257,31.5,77.2,22.8,68.5,65.8,65.8,65.8,65.8,0.2,0,0.0,100.0
DLVA,SolidiFI_Overflow-Underflow,29,82,80,253,26.1,76.0,24.0,73.9,63.5,63.3,63.5,63.4,0.2,0,0.0,100.0
